Winner;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9 ;Q10;Q11;Q12
p;n;n;n;n;y;n;n;y;y;n;n;n
p;y;y;n;n;y;n;y;n;n;n;y;n
p;y;n;n;y;n;n;y;y;n;n;n;n
p;n;n;n;n;y;n;n;n;n;n;n;n
p;n;y;n;n;y;n;y;n;n;n;n;y
p;y;y;n;n;y;n;n;n;n;n;y;n
p;y;y;n;n;n;n;n;y;n;n;n;y
p;n;n;n;n;y;n;n;y;n;n;n;n
p;n;y;y;n;y;n;y;y;n;y;n;n
p;y;y;n;n;n;n;y;n;n;n;n;n
p;n;y;n;n;y;y;y;y;n;n;y;n
p;y;y;n;n;y;y;y;y;n;n;y;n
p;y;y;n;n;y;n;y;y;n;n;y;n
p;y;y;y;n;y;n;n;y;n;n;n;n
p;n;y;n;n;y;n;n;n;n;n;y;n
p;n;n;n;n;y;n;y;n;n;n;n;n
p;n;n;n;n;y;n;y;y;y;n;n;n
o;y;n;y;y;n;n;y;n;y;n;n;n
o;y;y;n;y;n;y;n;n;n;y;n;n
o;y;n;n;y;n;n;y;n;y;n;y;n
o;n;n;y;n;y;n;n;y;y;n;n;y
o;n;n;n;y;n;y;n;y;y;n;y;n
o;y;y;y;y;y;n;y;n;n;n;n;n
o;y;n;n;y;n;n;n;y;y;n;n;n
o;y;y;n;n;y;y;n;n;y;n;n;y
o;y;n;n;y;n;n;y;n;n;y;n;y
o;y;y;n;n;n;y;n;n;n;n;n;y
o;y;y;y;y;n;n;y;y;y;n;n;n
o;y;y;n;y;y;n;n;n;n;y;n;n
o;n;n;y;y;y;y;n;n;n;y;n;y
